Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cross Sell 1 (product.metafields.custom.cross_sell_1),Cross Sell 2 (product.metafields.custom.cross_sell_2),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
coral-pique-polo-ss25,Coral Pique Polo,"<p>The classic polo with modern updates, designed to fit perfectly into your summer wardrobe.</p>
<p>Crafted from a textured pique cotton this garment has a slight stretch for your added comfort.</p>
<p>Wear together with chinos or shorts for a pared back summer edit.</p>",James Harper,Uncategorized,Shirts,"2xl, 3xl, coral, l, m, pique, polo, poloshirt, s, shirt, shirts, short, short sleeve, shortsleeve, sleeve, spring, ss25, summer, Tees & Polos, xl",TRUE,Size,S,,,,,,,,JHK76 Coral,0,shopify,2,deny,manual,89.95,89.95,TRUE,TRUE,'9314651297711,https://cdn.shopify.com/s/files/1/0611/6577/files/JHK76Coral_1_7f90c1ae-9896-4ccf-bda0-17e7a475fcd0.jpg?v=1754527286,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
coral-pique-polo-ss25,,,,,,,,,M,,,,,,,,JHK76 Coral,0,shopify,20,deny,manual,89.95,89.95,TRUE,TRUE,'9314651297704,https://cdn.shopify.com/s/files/1/0611/6577/files/JHK76Coral_1.jpg?v=1754527286,2,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
coral-pique-polo-ss25,,,,,,,,,L,,,,,,,,JHK76 Coral,0,shopify,33,deny,manual,89.95,89.95,TRUE,TRUE,'9314651297698,https://cdn.shopify.com/s/files/1/0611/6577/files/JHK76Coral_2.jpg?v=1754527286,3,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
coral-pique-polo-ss25,,,,,,,,,XL,,,,,,,,JHK76 Coral,0,shopify,34,deny,manual,89.95,89.95,TRUE,TRUE,'9314651297681,https://cdn.shopify.com/s/files/1/0611/6577/files/JHK76Coral_2_c86d6aa6-d28b-46ed-b84e-a00e0dfab1af.jpg?v=1754527286,4,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
coral-pique-polo-ss25,,,,,,,,,2XL,,,,,,,,JHK76 Coral,0,shopify,18,deny,manual,89.95,89.95,TRUE,TRUE,'9314651297674,https://cdn.shopify.com/s/files/1/0611/6577/files/025A8889copy.jpg?v=1754527286,5,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
coral-pique-polo-ss25,,,,,,,,,3XL,,,,,,,,JHK76 Coral,0,shopify,8,deny,manual,89.95,89.95,TRUE,TRUE,'9314651297667,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
natural-short-jacket-ss25,Natural Short Jacket,"<p>Made from a smooth, breathable linen blend, this cropped jacket is tailored into a modern fit. Accented with classic flap pockets, this jacket sports a utilitarian edge.</p>
<p>Pair with matching tailored pants JHTR44.</p>
<p> </p>",James Harper,Uncategorized,Blazer,"2XL, 3XL, blazer, blazers, jacket, L, M, natural, S, short, ss25, XL",TRUE,Size,S,,,,,,,,JHJ144 Natural,0,shopify,0,deny,manual,249.95,249.95,TRUE,TRUE,'9314651298398,https://cdn.shopify.com/s/files/1/0611/6577/files/JHJ144Natural_2.jpg?v=1754443750,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
natural-short-jacket-ss25,,,,,,,,,M,,,,,,,,JHJ144 Natural,0,shopify,3,deny,manual,249.95,249.95,TRUE,TRUE,'9314651298404,https://cdn.shopify.com/s/files/1/0611/6577/files/JHJ144Natural_5.jpg?v=1754443750,2,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
natural-short-jacket-ss25,,,,,,,,,L,,,,,,,,JHJ144 Natural,0,shopify,1,deny,manual,249.95,249.95,TRUE,TRUE,'9314651298411,https://cdn.shopify.com/s/files/1/0611/6577/files/JHJ144Natural_3.jpg?v=1754443750,3,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
natural-short-jacket-ss25,,,,,,,,,XL,,,,,,,,JHJ144 Natural,0,shopify,3,deny,manual,249.95,249.95,TRUE,TRUE,'9314651298428,https://cdn.shopify.com/s/files/1/0611/6577/files/Untitleddesign_13.gif?v=1756861261,4,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
