"Row","Field","Category","Message"
"15","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"15","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"16","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"16","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"21","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"21","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"23","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"23","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"25","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"25","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"26","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"26","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"28","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"28","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"30","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"30","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"32","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"32","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"33","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"33","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"35","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"35","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"36","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"36","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"39","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"39","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"40","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"40","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"45","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"45","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"46","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"46","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"47","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"47","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"49","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"49","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"51","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"51","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"52","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"52","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"53","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"53","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"55","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"55","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"57","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"57","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"59","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"59","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"61","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"61","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"62","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"62","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"64","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"64","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"65","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"65","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"66","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"66","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"68","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"68","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"69","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"69","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"70","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"70","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"72","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"72","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"74","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"74","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"76","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"76","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"77","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"77","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"79","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"79","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"81","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"81","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"82","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"82","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"83","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"83","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"85","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"85","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"86","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"86","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"88","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"88","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"89","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"89","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"92","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"92","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"93","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"93","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"94","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"94","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"96","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"96","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"97","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"97","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"98","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"98","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"100","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"100","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"102","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"102","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"103","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"103","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"104","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"104","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"106","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"106","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"107","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"107","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"108","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"108","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"110","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"110","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"111","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"111","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"112","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"112","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"114","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"114","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"115","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"115","Product name","Missing required","Product name is empty. Add a value before re-uploading."
"116","Brand name","Missing required","Brand name is empty. Add a value before re-uploading."
"116","Product name","Missing required","Product name is empty. Add a value before re-uploading."
